id,plugin,channels,irlen,spl,measure,screenshot,X,time,elapsed,remaining
11,new,36,1s,256,2,Screenshot (293).png,6.00,0:49,elapsed:,remaining:
11,old,36,1s,256,1,Screenshot (294).png,1.70,0:34,elapsed:,remaining:
11,old,36,1s,256,2,Screenshot (295).png,1.80,0:33,elapsed:,remaining:
12,new,36,2s,256,1,Screenshot (296).png,2.60,0:11,elapsed:,remaining:
12,new,36,2s,256,2,Screenshot (297).png,2.80,0:21,elapsed:,remaining:
12,old,36,2s,256,1,Screenshot (298).png,0.90,0:32,elapsed:,remaining:
12,old,36,2s,256,2,Screenshot (299).png,0.90,0:31,elapsed:,remaining:
13,new,36,5s,256,1,Screenshot (300).png,0.70,0:44,elapsed:,remaining:
13,new,36,5s,256,2,Screenshot (301).png,0.70,0:44,elapsed:,remaining:
13,old,36,5s,256,1,Screenshot (302).png,0.40,01:16,elapsed:,remaining:
13,old,36,5s,256,2,Screenshot (303).png,0.40,01:16,elapsed:,remaining:
14,new,36,10s,256,1,Screenshot (304).png,0.20,02:33,elapsed:,remaining:
14,new,36,10s,256,2,Screenshot (305).png,0.20,02:33,elapsed:,remaining:
14,old,36,10s,256,1,Screenshot (306).png,0.20,02:51,elapsed:,remaining:
14,old,36,10s,256,2,Screenshot (307).png,0.20,02:51,elapsed:,remaining:
15,new,64,100ms,256,1,Screenshot (308).png,9.10,0:06,elapsed:,remaining:
15,new,64,100ms,256,2,Screenshot (309).png,9.20,0:06,elapsed:,remaining:
15,old,64,100ms,256,1,Screenshot (310).png,5.70,0:53,elapsed:,remaining:
15,old,64,100ms,256,2,Screenshot (311).png,5.70,0:53,elapsed:,remaining:
16,new,64,200ms,256,1,Screenshot (312).png,8.30,0:36,elapsed:,remaining:
16,new,64,200ms,256,2,Screenshot (313).png,8.40,0:35,elapsed:,remaining:
16,old,64,200ms,256,1,Screenshot (314).png,3.80,01:18,elapsed:,remaining:
16,old,64,200ms,256,2,Screenshot (315).png,3.70,0:16,elapsed:,remaining:
17,new,64,500ms,256,1,Screenshot (316).png,5.40,0:11,elapsed:,remaining:
17,new,64,500ms,256,2,Screenshot (317).png,5.30,0:11,elapsed:,remaining:
17,old,64,500ms,256,1,Screenshot (318).png,1.90,0:32,elapsed:,remaining:
17,old,64,500ms,256,2,Screenshot (319).png,1.90,0:32,elapsed:,remaining:
18,new,64,1s,256,1,Screenshot (320).png,3.10,0:19,elapsed:,remaining:
18,new,64,1s,256,2,Screenshot (321).png,3.10,0:19,elapsed:,remaining:
18,old,64,1s,256,1,Screenshot (322).png,1.00,0:57,elapsed:,remaining:
18,old,64,1s,256,2,Screenshot (323).png,1.00,0:58,elapsed:,remaining:
19,new,64,2s,256,1,Screenshot (324).png,1.40,0:20,elapsed:,remaining:
19,new,64,2s,256,2,Screenshot (325).png,1.30,0:22,elapsed:,remaining:
19,old,64,2s,256,1,Screenshot (326).png,0.50,0:55,elapsed:,remaining:
19,old,64,2s,256,2,Screenshot (327).png,0.50,0:55,elapsed:,remaining:
20,new,64,5s,256,1,Screenshot (328).png,0.40,01:21,elapsed:,remaining:
20,new,64,5s,256,2,Screenshot (329).png,0.40,01:20,elapsed:,remaining:
20,old,64,5s,256,1,Screenshot (330).png,0.20,02:12,elapsed:,remaining:
20,old,64,5s,256,2,Screenshot (331).png,0.20,02:12,elapsed:,remaining:
21,new,64,10s,256,1,Screenshot (332).png,0.10,04:55,elapsed:,remaining:
21,new,64,10s,256,2,Screenshot (333).png,0.10,04:55,elapsed:,remaining:
21,old,64,10s,256,1,Screenshot (334).png,0.10,05:36,elapsed:,remaining:
21,old,64,10s,256,2,Screenshot (335).png,0.10,05:36,elapsed:,remaining:
